BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20200820,0.03376263152764063,7,0.0072,301.59,24.38,20084,312.5,290,0.84,NA,1704,NA,132.6303922543851,NA,1380821.917808219,0,1380821.917808219,1.3808219178082192e-4
20200827,0.035230572028842395,7,0.0068000000000000005,311.38,25.44,20091,322.5,300,0.6,1.51,1805,2424,128.4604020810585,67762862.09775835,1312946.6088653516,0,69075808.7066237,0.00690758087066237
20200903,0.03636614864297961,7,0.0068000000000000005,316.43,26.26,20092,330,302.5,0.35,0.81,161121,64071,126.4102645134785,36658976.70890877,1308890.3213461482,0,37967867.030254915,0.0037967867030254915
20200910,0.034247328862943106,7,0.006500000000000001,316.53,24.73,20093,327.5,305,0.39,0.69,1228,1739,126.37032824692763,34119988.626670465,1250828.6561164756,0,35370817.28278694,0.0035370817282786944
20200917,0.02915108259461999,7,0.0064,318,21.05,20094,327.5,307.5,0.46,0.8,1413,1741,125.78616352201257,39622641.50943396,1232260.5324373222,157861635.2201252,-117006733.17825392,-0.011700673317825393
20200924,0.02883893866912657,5,0.0063,302.48,24.64,20101,312.5,292.5,0.3,0.87,2100,1833,132.24014810896588,38680243.32187252,866351.8566154493,0,39546595.178487964,0.003954659517848796
20200929,0.03927249691194373,9,0.0061,309.44,25.01,20102,322.5,295,0.26,0.6,107877,88561,129.26577042399174,27792140.641158223,1508289.8315649307,0,29300430.472723152,0.002930043047272315
20201008,0.0298435073593378,7,0.0064,317.47,21.55,20103,327.5,307.5,0.33,0.42,2916,2170,125.99615711720791,23624279.459476482,1230296.8978624237,0,24854576.357338905,0.0024854576357338904
20201015,0.029040294632265137,7,0.0064,313.92,20.97,20104,325,302.5,0.13,0.4,3367,2675,127.420998980632,16883282.36493374,1229469.5097258878,0,18112751.874659628,0.0018112751874659627
20201022,0.030300507704051557,7,0.0063,313.77,21.88,20105,325,302.5,0.14,0.36,1901,3360,127.4819135035217,15935239.187940212,1210144.5042416113,0,17145383.692181822,0.0017145383692181821
20201029,0.0322531455405558,7,0.0061,309.94,23.29,20111,320,297.5,0.61,0.97,4701,1737,129.0572368845583,50977608.569400534,1175826.695577845,48719106.92392047,3434328.3410579115,3.434328341057912e-4
20201105,0.034275025853531815,7,0.0063,321.51,24.75,20112,335,310,0.15,0.88,56691,80381,124.41292650306367,32036328.574538898,1212089.8687401018,0,33248418.443278998,0.0033248418443279
20201112,0.028638688268728806,7,0.0061,329.72,20.68,20113,340,320,0.35,0.65,4028,3150,121.31505519835011,30328763.799587525,1173411.063600664,4852602.207934762,26649572.655253425,0.0026649572655253425
20201119,0.02718459626282139,7,0.0061,340.16,19.63,20114,350,330,0.35,0.46,5241,4182,117.59172154280338,23812323.612417687,1172648.7293650692,62323612.41768593,-37338640.07590318,-0.0037338640075903176
20201126,0.028832567202849796,7,0.006,352.12,20.82,20121,362.5,340,0.46,0.48,2317,2268,113.59763716914688,26695444.734749515,1153756.7361064642,0,27849201.470855977,0.002784920147085598
20201203,0.027946263504010988,7,0.0061,361.66,20.18,20122,372.5,350,0.57,0.73,137473,116588,110.60111707128242,35945363.04816678,1174068.1287730322,0,37119431.176939815,0.0037119431176939814
20201210,0.027904718018127918,7,0.0062,369.37,20.15,20123,380,357.5,0.6,0.81,2202,784,108.29249803719847,38173105.558112465,1193580.0350170468,0,39366685.59312951,0.003936668559312951
20201217,0.028250930400486828,7,0.0061,372,20.4,20124,385,360,0.32,0.53,1591,2683,107.52688172043011,22849462.3655914,1172536.0877890703,0,24021998.45338047,0.002402199845338047
20201224,0.027591255315099632,6,0.0064,379.18,21.52,20125,390,367.5,0.17,1.11,1053,1459,105.49079592805528,33757054.69697769,1055606.2216448328,0,34812660.91862252,0.0034812660918622524
