BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20221013,0.05,28,0.029300000000000003,282.57,24.69,22112,297.5,267.5,2.01,3.25,10149,4806,141.55784407403476,186148564.9573557,22895113.103263054,482358353.6822733,-273314675.62165457,-0.027331467562165458
20221110,0.05,28,0.0333,311.13,20.1,22122,327.5,295,1.39,1.94,8709,12355,128.56362292289396,107029216.08330922,25818613.811167337,0,132847829.89447656,0.013284782989447656
20221208,0.05,35,0.0378,308.24,18.45,23012,325,292.5,0.86,2.29,14933,4451,129.76901116013497,102193096.28860629,36616990.31887624,0,138810086.60748252,0.013881008660748251
20230112,0.05,28,0.0408,310.7,17.98,23022,327.5,295,1.23,1.12,13181,12689,128.7415513356936,75635661.40971999,31535359.396149218,0,107171020.8058692,0.01071710208058692
20230209,0.05,28,0.0384,324.9,17.5,23032,342.5,307.5,0.97,1.21,12040,9153,123.11480455524777,67097568.48261003,29655187.138719182,0,96752755.62132922,0.009675275562132922
20230309,0.05,35,0.0383,314.04,17.21,23042,330,297.5,0.93,1.44,12118,7528,127.37230925996687,75468093.23653038,37003191.723242655,98395108.9033236,14076176.056449428,0.0014076176056449427
20230413,0.05,28,0.037200000000000004,333.09,15.82,23052,350,315,0.65,0.77,19556,14326,120.08766399471615,42631120.71812423,28658642.67216438,0,71289763.39028862,0.007128976339028862
20230511,0.05,28,0.0368,325.28,14.77,23062,342.5,307.5,0.28,0.66,14406,6710,122.97097884899165,28898180.02951304,28311716.944390163,7685686.178061978,49524210.795841224,0.0049524210795841225
20230608,0.05,35,0.0368,342.75,13.71,23072,360,325,0.58,0.85,17567,16254,116.70313639679067,41721371.26185266,35434896.23612401,0,77156267.49797666,0.007715626749797666
20230713,0.05,28,0.0376,341.13,13.76,23082,360,322.5,0.31,0.4,17327,14260,117.25735057016387,20813179.726204082,28903868.80990616,0,49717048.53611024,0.004971704853611023
20230810,0.05,35,0.037000000000000005,340.46,14.15,23092,357.5,322.5,0.57,0.99,11536,7068,117.48810432943665,45820360.6884803,35642020.18381256,0,81462380.87229286,0.008146238087229286
20230914,0.05,28,0.0373,341.19,12.64,23102,360,322.5,0.13,0.36,11607,16312,117.23673026759283,14361499.45778012,28654792.19187317,0,43016291.64965329,0.004301629164965329
