BAS_DD,KOSPI200,VKOSPI200
20221219,306.77,17.6
20221216,307.48,17.03
20221215,307.73,16.71
20221214,313.23,17.27
20221213,309.56,19.09
20221212,309.64,18.52
20221209,311.63,17.57
20221208,308.24,18.38
20221207,308.27,18.45
20221206,310.14,18.19
20221205,313.91,17.98
20221202,315.02,18.49
20221201,322.02,17.51
20221130,321,17.78
20221129,315.58,17.76
20221128,312.21,18.12
20221125,316.07,16.97
20221124,317.3,16.85
20221123,314.11,17.92
20221122,312.02,19.09
20221121,314.67,19.81
20221118,317.12,19.87
20221117,316.75,20.09
20221116,321.96,19.87
20221115,322.31,19.63
20221114,321.53,20.32
20221111,323.09,19.97
20221110,311.13,21.21
20221109,315.23,20.1
20221108,312.01,19.99
20221107,307.87,20.82
20221104,304.33,20.84
20221103,301.66,21.21
20221102,303.87,21.13
20221101,303.88,21.11
20221031,299.58,21.97
20221028,295.06,22.71
20221027,298.82,22.12
20221026,293.85,23.42
20221025,291.58,24.23
20221024,291.47,24.62
20221021,288.57,23.94
20221020,288.61,24.04
20221019,291.29,23.21
20221018,293.59,22.86
20221017,289.57,24.4
20221014,289.36,23.94
20221013,282.57,27.22
20221012,287.09,24.69
20221011,284.96,25.78
20221007,290.41,23.93
20221006,291.26,23.37
20221005,289.05,24.36
20221004,288.27,24.99
20220930,281.36,27.19
20220929,282.65,25.96
20220928,283.19,26.59
20220927,290.2,23.62
20220926,289.77,24.02
20220923,297.74,20.33
20220922,301.65,20.47
20220921,304.67,20.8
20220920,307.54,19.28
20220919,306.49,19.64
20220916,308.69,19.13
20220915,310.63,18.39
20220914,312.74,18.73
20220913,318.56,16.68
20220908,309.12,19.17
20220907,308.16,19.85
20220906,313.01,18.49
20220905,312.47,18.87
20220902,312.92,19.07
20220901,315.02,19.2
20220831,322.96,17.31
20220830,319.49,17.47
20220829,316.35,18.72
20220826,323.91,16.19
20220825,323.63,16.19
20220824,319.86,17.48
20220823,318.69,17.72
20220822,322.77,16.76
20220819,326.79,15.73
20220818,328.8,15.77
20220817,329.91,15.51
20220816,331.78,15.42
20220812,330.67,15.45
20220811,329.92,15.74
20220810,324.35,17.18
20220809,328.11,16.5
20220808,327.23,17.15
20220805,327.5,17
20220804,325.47,17.7
20220803,323.8,18.45
20220802,321.64,19.24
20220801,322.97,18.22
20220729,323.31,17.79
20220728,321.62,18.36
20220727,319.74,19.39
20220726,319.61,19.38
20220725,318.34,19.97
20220722,317.33,19.71
20220721,319.68,20.02
20220720,316.02,20.31
20220719,313.9,20.74
20220718,314.87,20.53
20220715,307.91,22.08
20220714,305.35,23.32
20220713,306.59,23.3
20220712,305.03,23.33
20220711,308.29,23.33
20220708,310.15,23
20220707,308.31,23.6
20220706,302.28,24.67
20220705,309.03,22.73
20220704,304.01,24.07
20220701,304.02,23.98
20220630,307.2,23.9
20220629,312.86,22.46
20220628,319.11,21.21
20220627,316.2,22.5
20220624,312.07,23.94
20220623,305.45,25.92
20220622,308.08,25.64
20220621,316.38,23.4
20220620,314.44,26.37
20220617,320.09,25.79
20220616,322.25,23.72
20220615,322.21,24.27
20220614,328.23,23.74
20220613,329.88,23.3
20220610,341.89,18.29
20220609,346.62,17
20220608,346.22,17.1
20220607,345.67,18.1
20220603,352.01,16.87
20220602,350.51,17.6
20220531,354.54,17.26
20220530,352.49,17.74
20220527,348.04,18.8
20220526,344.26,19.91
20220525,345.6,19.89
20220524,344.08,20.61
20220523,350.34,19.44
20220520,349.29,19.1
20220519,343.24,20.42
20220518,348.34,18.4
20220517,347.53,19.06
20220516,343.94,20.27
20220513,345.5,19.69
20220512,337.94,22.72
20220511,343.44,21.1
20220510,343.67,22.11
20220509,345.41,21.39
20220506,349,20.87
20220504,353.85,19.61
20220503,353.32,20.25
20220502,354.02,20.5
20220429,355.08,18.92
20220428,350.16,20.45
20220427,346.21,21.98
20220426,350.67,19.94
20220425,348.98,21.05
20220422,355.43,17.75
20220421,359.02,16.77
20220420,357.52,17.34
20220419,357.36,17.69
20220418,353.63,18.88
20220415,353.84,17.77
20220414,357.38,17.13
20220413,359,17.02
20220412,352.32,18.47
20220411,355.78,17.57
20220408,356.01,17.1
20220407,355.73,17.78
20220406,361.01,16.79
20220405,364.74,15.91
20220404,364.94,16.49
20220401,363.19,17.07
20220331,365.61,17.14
20220330,364.5,17.88
20220329,363.77,18.75
20220328,362.06,19.6
20220325,362.06,19.62
20220324,363.38,19.73
20220323,364.84,19.61
20220322,361.66,21.03
20220321,358.77,22.4
20220318,362.33,21.93
20220317,361.46,22.55
20220316,356.09,23.74
20220315,351.03,25.77
20220314,354.61,24.7
20220311,355.31,24.41
20220310,358.01,25.71
20220308,349.38,28.95
20220307,353.03,27.84
20220304,361.69,24.57
20220303,367.06,22.73
20220302,360.59,24.89
